-1 , programa , -1 , 1
-55 , nombre@ , -2 , 1
-75 , ; , -1 , 1
-15 , variables , -1 , 3
-51 , uno& , -2 , 5
-76 , , , -1 , 5
-51 , dos& , -2 , 5
-77 , : , -1 , 5
-11 , entero , -1 , 5
-75 , ; , -1 , 5
-52 , tres% , -2 , 7
-77 , : , -1 , 7
-12 , real , -1 , 7
-75 , ; , -1 , 7
-53 , cuatro$ , -2 , 9
-77 , : , -1 , 9
-13 , cadena , -1 , 9
-75 , ; , -1 , 9
-54 , cinco# , -2 , 11
-77 , : , -1 , 11
-14 , logico , -1 , 11
-75 , ; , -1 , 11
-2 , inicio , -1 , 13
-51 , uno& , -2 , 15
-26 , = , -1 , 15
-61 , 10 , -1 , 15
-24 , + , -1 , 15
-73 , ( , -1 , 15
-61 , 39 , -1 , 15
-21 , * , -1 , 15
-51 , dos& , -2 , 15
-74 , ) , -1 , 15
-75 , ; , -1 , 15
-6 , si , -1 , 17
-73 , ( , -1 , 17
-51 , uno& , -2 , 17
-33 , > , -1 , 17
-61 , 10 , -1 , 17
-74 , ) , -1 , 17
-16 , entonces , -1 , 17
-2 , inicio , -1 , 19
-5 , escribir , -1 , 21
-73 , ( , -1 , 21
-51 , dos& , -2 , 21
-74 , ) , -1 , 21
-75 , ; , -1 , 21
-3 , fin , -1 , 23
-7 , sino , -1 , 25
-2 , inicio , -1 , 27
-5 , escribir , -1 , 29
-73 , ( , -1 , 29
-51 , dos& , -2 , 29
-74 , ) , -1 , 29
-75 , ; , -1 , 29
-54 , cinco# , -2 , 31
-26 , = , -1 , 31
-73 , ( , -1 , 31
-61 , 10 , -1 , 31
-21 , * , -1 , 31
-73 , ( , -1 , 31
-61 , 89 , -1 , 31
-25 , - , -1 , 31
-61 , 100 , -1 , 31
-74 , ) , -1 , 31
-74 , ) , -1 , 31
-34 , >= , -1 , 31
-73 , ( , -1 , 31
-51 , dos& , -2 , 31
-74 , ) , -1 , 31
-75 , ; , -1 , 31
-3 , fin , -1 , 33
-51 , dos& , -2 , 35
-26 , = , -1 , 35
-61 , 1 , -1 , 35
-75 , ; , -1 , 35
-8 , mientras , -1 , 37
-73 , ( , -1 , 37
-51 , dos& , -2 , 37
-33 , > , -1 , 37
-61 , 5 , -1 , 37
-74 , ) , -1 , 37
-17 , hacer , -1 , 37
-2 , inicio , -1 , 39
-51 , dos& , -2 , 41
-26 , = , -1 , 41
-51 , dos& , -2 , 41
-24 , + , -1 , 41
-61 , 1 , -1 , 41
-75 , ; , -1 , 41
-5 , escribir , -1 , 43
-73 , ( , -1 , 43
-51 , dos& , -2 , 43
-74 , ) , -1 , 43
-75 , ; , -1 , 43
-3 , fin , -1 , 45
-54 , cinco# , -2 , 47
-26 , = , -1 , 47
-65 , falso , -1 , 47
-75 , ; , -1 , 47
-9 , repetir , -1 , 49
-2 , inicio , -1 , 51
-51 , dos& , -2 , 53
-26 , = , -1 , 53
-51 , dos& , -2 , 53
-24 , + , -1 , 53
-61 , 2 , -1 , 53
-75 , ; , -1 , 53
-5 , escribir , -1 , 55
-73 , ( , -1 , 55
-51 , dos& , -2 , 55
-74 , ) , -1 , 55
-75 , ; , -1 , 55
-4 , leer , -1 , 57
-73 , ( , -1 , 57
-52 , tres% , -2 , 57
-74 , ) , -1 , 57
-75 , ; , -1 , 57
-3 , fin , -1 , 59
-10 , hasta , -1 , 61
-73 , ( , -1 , 61
-54 , cinco# , -2 , 61
-35 , == , -1 , 61
-64 , verdadero , -1 , 61
-74 , ) , -1 , 61
-75 , ; , -1 , 61
-3 , fin , -1 , 63
